system:index,cwd,date,.geo
195801,0.0,1958-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195802,0.0,1958-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195803,0.0,1958-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195804,0.0,1958-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195805,0.0,1958-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195806,1037.0,1958-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195807,1278.0,1958-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195808,549.0,1958-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195809,277.0,1958-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195810,284.0,1958-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195811,0.0,1958-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195812,0.0,1958-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195901,0.0,1959-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195902,0.0,1959-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195903,0.0,1959-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195904,0.0,1959-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195905,469.0,1959-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195906,1048.0,1959-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195907,949.0,1959-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195908,75.0,1959-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195909,1069.0,1959-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195910,0.0,1959-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195911,0.0,1959-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
195912,0.0,1959-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196001,0.0,1960-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196002,0.0,1960-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196003,0.0,1960-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196004,0.0,1960-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196005,676.0,1960-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196006,1185.0,1960-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196007,795.0,1960-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196008,935.0,1960-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196009,884.0,1960-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196010,0.0,1960-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196011,34.0,1960-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196012,0.0,1960-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196101,0.0,1961-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196102,0.0,1961-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196103,0.0,1961-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196104,0.0,1961-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196105,498.0,1961-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196106,1196.0,1961-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196107,474.0,1961-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196108,0.0,1961-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196109,390.0,1961-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196110,352.0,1961-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196111,0.0,1961-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196112,0.0,1961-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196201,0.0,1962-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196202,0.0,1962-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196203,0.0,1962-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196204,0.0,1962-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196205,938.0,1962-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196206,1382.0,1962-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196207,307.0,1962-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196208,1287.0,1962-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196209,344.0,1962-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196210,534.0,1962-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196211,0.0,1962-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196212,0.0,1962-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196301,0.0,1963-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196302,0.0,1963-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196303,0.0,1963-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196304,0.0,1963-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196305,879.0,1963-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196306,1439.0,1963-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196307,1126.0,1963-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196308,0.0,1963-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196309,567.0,1963-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196310,511.0,1963-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196311,0.0,1963-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196312,0.0,1963-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196401,0.0,1964-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196402,0.0,1964-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196403,0.0,1964-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196404,0.0,1964-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196405,152.0,1964-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196406,1401.0,1964-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196407,416.0,1964-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196408,632.0,1964-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196409,475.0,1964-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196410,918.0,1964-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196411,0.0,1964-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196412,0.0,1964-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196501,0.0,1965-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196502,0.0,1965-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196503,0.0,1965-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196504,0.0,1965-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196505,288.0,1965-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196506,609.0,1965-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196507,259.0,1965-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196508,579.0,1965-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196509,465.0,1965-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196510,561.0,1965-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196511,157.0,1965-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196512,0.0,1965-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196601,0.0,1966-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196602,0.0,1966-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196603,0.0,1966-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196604,0.0,1966-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196605,879.0,1966-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196606,544.0,1966-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196607,801.0,1966-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196608,263.0,1966-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196609,793.0,1966-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196610,800.0,1966-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196611,310.0,1966-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196612,0.0,1966-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196701,0.0,1967-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196702,0.0,1967-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196703,0.0,1967-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196704,366.0,1967-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196705,1180.0,1967-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196706,886.0,1967-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196707,326.0,1967-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196708,0.0,1967-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196709,313.0,1967-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196710,816.0,1967-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196711,226.0,1967-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196712,0.0,1967-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196801,0.0,1968-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196802,0.0,1968-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196803,0.0,1968-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196804,0.0,1968-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196805,0.0,1968-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196806,1171.0,1968-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196807,150.0,1968-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196808,145.0,1968-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196809,1073.0,1968-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196810,809.0,1968-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196811,0.0,1968-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196812,0.0,1968-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196901,0.0,1969-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196902,0.0,1969-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196903,0.0,1969-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196904,0.0,1969-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196905,362.0,1969-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196906,1068.0,1969-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196907,444.0,1969-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196908,225.0,1969-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196909,429.0,1969-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196910,0.0,1969-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196911,0.0,1969-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
196912,0.0,1969-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197001,0.0,1970-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197002,0.0,1970-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197003,0.0,1970-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197004,0.0,1970-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197005,80.0,1970-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197006,808.0,1970-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197007,328.0,1970-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197008,379.0,1970-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197009,546.0,1970-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197010,432.0,1970-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197011,0.0,1970-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197012,0.0,1970-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197101,0.0,1971-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197102,0.0,1971-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197103,0.0,1971-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197104,0.0,1971-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197105,687.0,1971-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197106,1528.0,1971-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197107,353.0,1971-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197108,290.0,1971-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197109,226.0,1971-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197110,95.0,1971-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197111,0.0,1971-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197112,0.0,1971-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197201,0.0,1972-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197202,0.0,1972-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197203,0.0,1972-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197204,221.0,1972-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197205,1094.0,1972-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197206,1167.0,1972-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197207,789.0,1972-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197208,209.0,1972-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197209,385.0,1972-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197210,0.0,1972-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197211,0.0,1972-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197212,0.0,1972-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197301,0.0,1973-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197302,0.0,1973-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197303,0.0,1973-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197304,0.0,1973-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197305,0.0,1973-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197306,765.0,1973-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197307,495.0,1973-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197308,748.0,1973-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197309,638.0,1973-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197310,703.0,1973-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197311,177.0,1973-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197312,0.0,1973-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197401,0.0,1974-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197402,0.0,1974-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197403,0.0,1974-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197404,30.0,1974-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197405,1115.0,1974-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197406,1484.0,1974-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197407,378.0,1974-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197408,460.0,1974-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197409,767.0,1974-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197410,0.0,1974-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197411,0.0,1974-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197412,0.0,1974-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197501,0.0,1975-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197502,0.0,1975-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197503,0.0,1975-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197504,0.0,1975-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197505,0.0,1975-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197506,1069.0,1975-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197507,408.0,1975-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197508,648.0,1975-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197509,0.0,1975-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197510,825.0,1975-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197511,0.0,1975-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197512,0.0,1975-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197601,0.0,1976-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197602,0.0,1976-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197603,0.0,1976-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197604,0.0,1976-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197605,402.0,1976-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197606,1421.0,1976-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197607,644.0,1976-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197608,584.0,1976-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197609,617.0,1976-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197610,691.0,1976-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197611,0.0,1976-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197612,0.0,1976-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197701,0.0,1977-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197702,0.0,1977-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197703,0.0,1977-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197704,0.0,1977-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197705,528.0,1977-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197706,1358.0,1977-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197707,523.0,1977-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197708,132.0,1977-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197709,582.0,1977-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197710,744.0,1977-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197711,0.0,1977-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197712,0.0,1977-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197801,0.0,1978-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197802,0.0,1978-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197803,0.0,1978-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197804,0.0,1978-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197805,229.0,1978-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197806,974.0,1978-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197807,1143.0,1978-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197808,709.0,1978-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197809,783.0,1978-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197810,474.0,1978-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197811,0.0,1978-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197812,0.0,1978-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197901,0.0,1979-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197902,0.0,1979-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197903,0.0,1979-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197904,0.0,1979-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197905,38.0,1979-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197906,561.0,1979-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
197907,1012.0,1979-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
